,3P%,3P%Season Total,3PM-A,3PM-ASeason Total,AST,AST/TO,ASTSeason Total,BLK,BLKSeason Total,DBLDBL,DQ,DR,DRSeason Total,EJECT,FG%,FG%Season Total,FGM-A,FGM-ASeason Total,FLAG,FT%,FT%Season Total,FTM-A,FTM-ASeason Total,GP,GS,MIN,Name,OR,ORSeason Total,PF,PFSeason Total,PTS,PTSSeason Total,RAT,REB,REBSeason Total,SCEFF,SEASON,SEASONSeason Total,SHEFF,STL,STL/TO,STLSeason Total,TEAM,TEAMSeason Total,TECH,TO,TOSeason Total,TRIDBL
20,.386,.386,1.6-4.2,91-236,2.4,1.52,137,0.5,29,3,2,3.0,168,1,.410,.410,5.0-12.3,282-687,1,.786,.786,2.2-2.8,125-159,56,46,31.2,Bradley Beal,0.8,43,2.0,113,13.9,780,21.75,3.8,211,1.135,'12-'13,'12-'13,.477,0.9,0.56,50,,,1,1.6,90,0
21,.402,.402,1.9-4.7,138-343,3.3,1.90,243,0.2,18,1,0,3.0,219,0,.419,.419,6.6-15.7,481-1149,0,.788,.788,2.0-2.6,149-189,73,73,34.7,Bradley Beal,0.7,54,2.1,153,17.1,1249,25.89,3.7,273,1.087,'13-'14,'13-'14,.479,1.0,0.55,71,,,0,1.8,128,0
22,.409,.409,1.7-4.1,106-259,3.1,1.58,194,0.3,18,2,1,2.9,184,0,.427,.427,5.8-13.5,363-851,1,.783,.783,2.1-2.6,130-166,63,59,33.4,Bradley Beal,0.9,57,2.2,136,15.3,962,24.11,3.8,241,1.130,'14-'15,'14-'15,.489,1.2,0.62,76,,,1,2.0,123,0
23,.387,.387,1.9-4.9,105-271,2.9,1.45,162,0.2,11,0,0,2.7,147,0,.449,.449,6.5-14.5,359-799,2,.767,.767,2.5-3.2,135-176,55,35,31.1,Bradley Beal,0.8,41,2.1,117,17.4,958,25.90,3.4,188,1.199,'15-'16,'15-'16,.515,1.0,0.48,54,,,0,2.0,112,0
24,.404,.404,2.9-7.2,223-552,3.5,1.71,267,0.3,21,1,0,2.4,187,0,.482,.482,8.3-17.2,637-1322,0,.825,.825,3.7-4.4,282-342,77,77,34.9,Bradley Beal,0.7,53,2.2,169,23.1,1779,34.01,3.1,240,1.346,'16-'17,'16-'17,.566,1.1,0.53,83,,,4,2.0,156,0
25,.375,.375,1.2-3.3,93-248,1.8,1.29,137,0.3,20,0,1,2.6,197,0,.403,.403,3.1-7.6,233-578,0,.808,.808,2.6-3.2,194-240,76,0,22.9,James Harden,0.6,47,2.6,200,9.9,753,16.29,3.2,244,1.303,'09-'10,'09-'10,.484,1.1,0.75,80,,,0,1.4,106,0
26,.349,.349,1.4-4.0,113-324,2.1,1.66,176,0.3,24,0,1,2.6,213,0,.436,.436,3.6-8.3,298-684,0,.843,.843,3.5-4.2,289-343,82,5,26.7,James Harden,0.5,42,2.5,207,12.2,998,19.82,3.1,255,1.459,'10-'11,'10-'11,.518,1.1,0.87,92,,,1,1.3,106,0
27,.390,.390,1.8-4.7,114-292,3.7,1.67,229,0.2,15,0,0,3.6,222,0,.491,.491,5.0-10.1,309-629,0,.846,.846,5.0-6.0,312-369,62,2,31.4,James Harden,0.5,30,2.4,150,16.8,1044,28.16,4.1,252,1.660,'11-'12,'11-'12,.582,1.0,0.45,62,,,3,2.2,137,0
28,.368,.368,2.3-6.2,179-486,5.8,1.54,455,0.5,38,9,0,4.1,317,0,.438,.438,7.5-17.1,585-1337,0,.851,.851,8.6-10.2,674-792,78,78,38.3,James Harden,0.8,62,2.3,178,25.9,2023,40.70,4.9,379,1.513,'12-'13,'12-'13,.504,1.8,0.48,142,,,4,3.8,295,1
29,.366,.366,2.4-6.6,177-483,6.1,1.68,446,0.4,29,14,0,3.9,283,0,.456,.456,7.5-16.5,549-1205,0,.866,.866,7.9-9.1,576-665,73,73,38.0,James Harden,0.8,61,2.4,177,25.4,1851,40.75,4.7,344,1.536,'13-'14,'13-'14,.529,1.6,0.43,115,,,5,3.6,265,1
